,text
0,Как разрабатываются и производятся процессоры: проектирование ЦП. Как вы возможно знаете;
1, процессоры и большинство других цифровых устройств состоят из транзисторов. Проще всего воспринимать транзистор как управляемый переключатель с тремя контактами. Когда затвор включён;
2, электрический ток может течь по транзистору. Когда затвор отключён;
3, ток течь не может. Затвор похож на выключатель света в комнате;
4, только он гораздо меньше;
5, быстрее и может управляться электрически. Существует два основных типа транзисторов;
6, используемых в современных процессорах: pMOS (PМОП) и nMOS (NМОП). nMOS-транзистор пропускает ток;
7, когда затвор (gate) заряжен или имеет высокое напряжение;
8, а pMOS-транзистор пропускает ток;
9, когда затвор разряжен или имеет низкое напряжение. Сочетая эти типы транзисторов комплементарным образом;
10, мы можем создавать логические элементы КМОП (CMOS). В этой статье мы не будем подробно разбирать особенности работы транзисторов;
11, но коснёмся этого в третьей части серии. Логический элемент — это простое устройство;
12, получающее входные сигналы;
13, выполняющее какую-то операцию;
14, и выводящее результат. Например;
15, элемент И (AND) включает свой выходной сигнал тогда и только тогда;
16, когда включены все входы затвора. Инвертор;
17, или элемент НЕ (NOT) включает свой выход;
18, если вход отключён. Можно скомбинировать эти два затвора и получить элемент И-НЕ (NAND);
19, который включает выход;
20, тогда и только тогда;
21, когда не включён ни один из входов. Существуют другие элементы со своей логической функциональностью;
22, например ИЛИ (OR);
23, ИЛИ-НЕ (NOR);
24, исключающее ИЛИ (XOR) и исключающее ИЛИ с инверсией (XNOR). Ниже показано;
25, как из транзисторов собраны два простых элемента: инвертор и NAND. В инверторе pMOS-транзистор (сверху) соединён с питанием;
26, а nMOS-транзистор (снизу) соединён с заземлением. На обозначении pMOS-транзисторов есть небольшой кружок;
27, соединённый с затвором. Мы сказали;
28, что pMOS-устройства пропускают ток;
29, когда вход отключен;
30, а nMOS-устройства пропускают ток;
31, когда вход включен;
32, поэтому легко заметить;
33, что сигнал на выходе (Out) будет всегда противоположным сигналу на входе (In). Взглянув на элемент NAND;
34, мы видим;
35, что для него требуется четыре транзистора;
36, и что выход всегда будет отключен;
37, если выключен хотя бы один из входов. Соединение подобным образом транзисторов для образования простых сетей — это тот же процесс;
38, который используется для проектирования более сложных логических элементов и других схем внутри процессоров. Строительные блоки в виде логических элементов так просты;
39, что трудно понять;
40, как они превращаются в функционирующий компьютер. Процесс проектирования заключается в комбинировании нескольких элементов для создания небольшого устройства;
41, способного выполнять простую функцию. Затем можно объединить множество таких устройств;
42, чтобы создать нечто;
43, выполняющее более сложную функцию. Процесс комбинирования отдельных компонентов для создания работающей структуры — это именно тот процесс;
44, который используется сегодня для создания современных чипов. Единственное отличие заключается в том;
45, что современный чип состоит из миллиардов транзисторов. В качестве небольшого примера давайте возьмём простой сумматор — 1-битный полный сумматор. Он получает три входных сигнала — A;
46, B;
47, и Carry-In (входной сигнал переноса);
48, и создаёт два выходных сигнала — Sum (сумма) и Carry-Out (выходной сигнал переноса). В простейшей схеме используется пять логических элементов;
49, и их можно соединить вместе для создания сумматора любого размера. В современных схемах этот процесс усовершенствован оптимизацией части логики и сигналов переноса;
50, но фундаментальные основы остаются теми же. Выход Sum равен или A;
51, или B;
52, но никогда обоим;
53, или есть входящий сигнал переноса;
54, и тогда A и B или оба включены;
55, или оба выключены. Выходной сигнал переноса немного сложнее. Он активен;
56, когда или A и B включены одновременно;
57, или есть Carry-in и один из A или B включен. Чтобы соединить несколько 1-битных сумматоров для создания более широкого сумматора;
58, нам просто нужно соединить Carry-out предыдущего бита с Carry-in текущего бита. Чем сложнее становятся схемы;
59, тем запутанней получается логика;
60, но это самый простой способ сложения двух чисел. В современных процессорах используются более изощрённые сумматоры;
61, но их схемы слишком сложны для подобного обзора. Кроме сумматоров процессоры также содержат устройства для деления;
62, умножения и версий всех этих операций с плавающей точкой. Подобное объединение последовательностей элементов для выполнения некой функции над входными сигналами называется комбинаторной логикой. Однако это не единственный тип логики;
63, используемый в компьютерах. Не будет особой пользы;
64, если мы не сможем хранить данные или отслеживать состояние. Для того;
65, чтобы иметь возможность сохранять данные;
66, нам нужна секвенциальная логика. Секвенциальная логика строится аккуратным соединением инверторов и других логических элементов так;
67, чтобы их выходы передавали сигналы обратной связи на вход элементов. Такие контуры обратной связи используются для хранения одного бита данных и называются статическим ОЗУ (Static RAM);
68, или SRAM. Эта память называется статическим ОЗУ в противовес динамической (DRAM);
69, потому что сохраняемые данные всегда напрямую соединены с положительным напряжением или заземлением. Стандартный способ реализации одного бита SRAM — это показанная ниже схема из 6 транзисторов. Самый верхний сигнал;
70, помеченный как WL (Word Line) — это адрес;
71, и когда он включен;
72, то данные;
73, хранящиеся в этой 1-битной ячейке передаются в Bit Line;
74, помеченную как BL. Выход BLB называется Bit Line Bar; это просто инвертированное значение Bit Line. Вы должны узнать два типа транзисторов и понять
75, что M3 с M1;
76, как и M4 с M2;
77, образуют инвертор. SRAM используется для построения сверхбыстрых кэшей и регистров внутри процессоров. Эта память очень стабильна;
78, но для хранения каждого бита данных требует от шести до восьми транзисторов. Поэтому по сравнению с DRAM она чрезвычайно затратна с точки зрения стоимости;
79, сложности и площади на чипе. С другой стороны;
80, Dynamic RAM хранит данные в крошечном конденсаторе;
81, а не использует логические элементы. Она называется динамической;
82, потому что напряжение на конденсаторе может значительно изменяться;
83, так как он не подключён к питанию или заземлению. Есть только один транзистор;
84, используемый для доступа к хранящимся в конденсаторе данным. Поскольку DRAM требует всего по одному транзистору на бит и очень масштабируема;
85, её можно плотно и дёшево упаковывать. Недостаток DRAM заключается в том;
86, что заряд конденсатора так мал;
87, что его необходимо постоянно обновлять. Именно поэтому после отключения питания компьютера все конденсаторы разряжаются и данные в ОЗУ теряются. Такие компании;
88, как Intel;
89, AMD и Nvidia;
90, не публикуют схем работы своих процессоров;
91, поэтому невозможно показать подобных полных электрических схем для современных процессоров. Однако этот простой сумматор позволит вам получить представление о том;
92, что даже самые сложные части процессора можно разбить на логические и запоминающие элементы;
93, а затем и на транзисторы. Теперь;
94, когда мы знаем;
95, как производятся некоторые компоненты процессора;
96, нам нужно разобраться;
97, как соединить всё вместе и синхронизировать. Все ключевые компоненты процессора подключены к синхронизирующему (тактовому) сигналу (clock signal). Он попеременно имеет высокое и низкое напряжение;
98, меняя его с заданным интервалом;
99, называемым частотой (frequency). Логика внутри процессора обычно переключает значения и выполняет вычисления;
100, когда синхронизирующий сигнал меняет напряжение с низкого на высокое. Синхронизируя все части;
101, мы можем гарантировать;
102, что данные всегда поступают в правильное время;
103, чтобы в процессоре не возникали «глюки». Вы могли слышать;
104, что для повышения производительности процессора можно увеличить частоту тактовых сигналов. Это повышение производительности происходит благодаря тому;
105, что переключение транзисторов и логики внутри процессора начинает происходить чаще;
106, чем предусмотрено. Поскольку в секунду происходит больше циклов;
107, то можно выполнить больше работы и процессор будет иметь повышенную производительность. Однако это справедливо до определённого предела. Современные процессоры обычно работают с частотой от 3;
108,0 ГГц до 4;
109,5 ГГц;
110, и эта величина почти не изменилась за последние десять лет. Точно так же;
111, как металлическая цепь не прочнее её самого слабого звена;
112, процессор может работать не быстрее его самой медленной части. К концу каждого тактового цикла каждый элемент процессора должен завершить свою работу. Если какие-то части ещё её не завершили;
113, то тактовый сигнал слишком быстрый и процессор не будет работать. Проектировщики называют эту самую медленную часть критическим путём (Critical Path) и именно он определяет максимальную частоту;
114, с которой может работать процессор. Выше определённой частоты транзисторы просто не успевают достаточно быстро переключаться и начинают глючить или выдавать неверные выходные значения. Повысив напряжение питания процессора;
115, мы можем ускорить переключение транзисторов;
116, но это тоже срабатывает до определённого предела. Если подать слишком большое напряжение;
117, то мы рискуем сжечь процессор. Когда мы повышаем частоту или напряжение процессора;
118, он всегда начинает излучать больше тепла и потреблять бОльшую мощность. Так происходит потому;
119, что мощность процессора прямо пропорциональна частоте и пропорциональна квадрату напряжения. Чтобы определить энергопотребление процессора;
120, мы рассматриваем каждый транзистор как маленький конденсатор;
121, который нужно заряжать или разряжать при изменении его значения. Подача питания — это настолько важная часть процессора;
